gene,annotation,symbol
AT4G30935,WRKY DNA-binding protein 32(WRKY32),WRKY32
AT4G30940,BTB/POZ domain with WD40/YVTN repeat-like protein(AT4G30940),AT4G30940
AT4G30950,fatty acid desaturase 6(FAD6),FAD6
AT4G30960,SOS3-interacting protein 3(SIP3),SIP3
AT4G30975,ncRNA(AT4G30975),AT4G30975
AT4G30980,LJRHL1-like 2(LRL2),LRL2
AT4G30990,ARM repeat superfamily protein(AT4G30990),AT4G30990
AT4G30993,Calcineurin-like metallo-phosphoesterase superfamily protein(AT4G30993),AT4G30993
AT4G30996,ubiquitin-associated protein (DUF1068)(NKS1),NKS1
AT4G31000,Calmodulin-binding protein(AT4G31000),AT4G31000
AT4G31010,RNA-binding CRS1 / YhbY (CRM) domain-containing protein(AT4G31010),AT4G31010
AT4G31020,alpha/beta-Hydrolases superfamily protein(AT4G31020),AT4G31020
AT4G31040,CemA-like proton extrusion protein-like protein(AT4G31040),AT4G31040
AT4G31050,Biotin/lipoate A/B protein ligase family(AT4G31050),AT4G31050
AT4G31060,Integrase-type DNA-binding superfamily protein(AT4G31060),AT4G31060
AT4G31070,PPR superfamily protein(AT4G31070),AT4G31070
AT4G31080,integral membrane metal-binding family protein (DUF2296)(AT4G31080),AT4G31080
AT4G31100,wall-associated kinase(AT4G31100),AT4G31100
AT4G31110,Wall-associated kinase family protein(AT4G31110),AT4G31110
AT4G31115,"DUF1997 family protein, putative (DUF1997)(AT4G31115)",AT4G31115
AT4G31120,SHK1 binding protein 1(SKB1),SKB1
AT4G31130,keratin-associated protein (DUF1218)(AT4G31130),AT4G31130
AT4G31140,O-Glycosyl hydrolases family 17 protein(AT4G31140),AT4G31140
AT4G31150,endonuclease V family protein(AT4G31150),AT4G31150
AT4G31160,DDB1-CUL4 associated factor 1(DCAF1),DCAF1
AT4G31170,Protein kinase superfamily protein(AT4G31170),AT4G31170
AT4G31180,Class II aminoacyl-tRNA and biotin synthetases superfamily protein(AT4G31180),AT4G31180
AT4G31200,SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein(AT4G31200),AT4G31200
AT4G31210,"DNA topoisomerase, type IA, core(AT4G31210)",AT4G31210
AT4G31230,kinase with adenine nucleotide alpha hydrolases-like domain-containing protein(AT4G31230),AT4G31230
AT4G31240,protein kinase C-like zinc finger protein(AT4G31240),AT4G31240
AT4G31250,Leucine-rich repeat protein kinase family protein(AT4G31250),AT4G31250
AT4G31270,sequence-specific DNA binding transcription factor(AT4G31270),AT4G31270
AT4G31290,ChaC-like family protein(AT4G31290),AT4G31290
AT4G31300,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein(PBA1),PBA1
AT4G31310,AIG2-like (avirulence induced gene) family protein(AT4G31310),AT4G31310
AT4G31320,SAUR-like auxin-responsive protein family(AT4G31320),AT4G31320
AT4G31330,"transmembrane protein, putative (Protein of unknown function, DUF599)(AT4G31330)",AT4G31330
AT4G31340,myosin heavy chain-like protein(AT4G31340),AT4G31340
AT4G31350,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT4G31350)",AT4G31350
AT4G31351,hypothetical protein(AT4G31351),AT4G31351
AT4G31354,hypothetical protein(AT4G31354),AT4G31354
AT4G31355,hypothetical protein(AT4G31355),AT4G31355
AT4G31360,selenium binding protein(AT4G31360),AT4G31360
AT4G31370,FASCICLIN-like arabinogalactan protein 5 precursor(FLA5),FLA5
AT4G31380,flowering-promoting factor-like protein(FLP1),FLP1
AT4G31390,Protein kinase superfamily protein(ACDO1),ACDO1
AT4G31400,protein CTF7(CTF7),CTF7
AT4G31408,ncRNA(AT4G31408),AT4G31408
AT4G31410,"E3 ubiquitin-protein ligase, putative (DUF1644)(AT4G31410)",AT4G31410
AT4G31420,Zinc finger protein 622(AT4G31420),AT4G31420
AT4G31430,flocculation protein(AT4G31430),AT4G31430
AT4G31440,"transcriptional regulator of RNA polII, SAGA, subunit(AT4G31440)",AT4G31440
AT4G31441,hypothetical protein(AT4G31441),AT4G31441
AT4G31450,RING/U-box superfamily protein(AT4G31450),AT4G31450
AT4G31460,Ribosomal L28 family(AT4G31460),AT4G31460
AT4G31470,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G31470)",CAP 
AT4G31480,"Coatomer, beta subunit(AT4G31480)",AT4G31480
AT4G31490,"Coatomer, beta subunit(AT4G31490)",AT4G31490
AT4G31500,"cytochrome P450, family 83, subfamily B, polypeptide 1(CYP83B1)",CYP83B1
AT4G31510,major centromere autoantigen B-like protein(AT4G31510),AT4G31510
AT4G31520,SDA1 family protein(AT4G31520),AT4G31520
AT4G31530,NAD(P)-binding Rossmann-fold superfamily protein(AT4G31530),AT4G31530
AT4G31540,exocyst subunit exo70 family protein G1(EXO70G1),EXO70G1
AT4G31550,WRKY DNA-binding protein 11(WRKY11),WRKY11
AT4G31560,high chlorophyll fluorescence 153(HCF153),HCF153
AT4G31570,nucleoporin(AT4G31570),AT4G31570
AT4G31580,serine/arginine-rich 22(RSZ22),RSZ22
AT4G31590,Cellulose-synthase-like C5(CSLC5),CSLC5
AT4G31600,UDP-N-acetylglucosamine (UAA) transporter family(UTr7),UTr7
AT4G31610,Transcriptional factor B3 family protein(REM1),REM1
AT4G31615,Transcriptional factor B3 family protein(AT4G31615),AT4G31615
AT4G31620,Transcriptional factor B3 family protein(AT4G31620),AT4G31620
AT4G31640,transcriptional factor B3 family protein(AT4G31640),AT4G31640
AT4G31650,Transcriptional factor B3 family protein(AT4G31650),AT4G31650
AT4G31670,ubiquitin-specific protease 18(UBP18),UBP18
AT4G31680,Transcriptional factor B3 family protein(AT4G31680),AT4G31680
AT4G31700,ribosomal protein S6(RPS6),RPS6
AT4G31710,glutamate receptor 2.4(GLR2.4),GLR2.4
AT4G31720,TBP-associated factor II 15(TAFII15),TAFII15
AT4G31730,glutamine dumper 1(GDU1),GDU1
AT4G31740,Sec1/munc18-like (SM) proteins superfamily(AT4G31740),AT4G31740
AT4G31750,HOPW1-1-interacting 2(WIN2),WIN2
AT4G31760,peroxidase superfamily protein(AT4G31760),AT4G31760
AT4G31770,debranching enzyme 1(DBR1),DBR1
AT4G31780,monogalactosyl diacylglycerol synthase 1(MGD1),MGD1
AT4G31790,Tetrapyrrole (Corrin/Porphyrin) Methylase(AT4G31790),AT4G31790
AT4G31800,WRKY DNA-binding protein 18(WRKY18),WRKY18
AT4G31805,WRKY family transcription factor(AT4G31805),AT4G31805
AT4G31810,ATP-dependent caseinolytic (Clp) protease/crotonase family protein(AT4G31810),AT4G31810
AT4G31820,Phototropic-responsive NPH3 family protein(ENP),ENP
AT4G31830,transmembrane protein(AT4G31830),AT4G31830
AT4G31840,early nodulin-like protein 15(ENODL15),ENODL15
AT4G31850,proton gradient regulation 3(PGR3),PGR3
AT4G31860,Protein phosphatase 2C family protein(AT4G31860),AT4G31860
AT4G31870,glutathione peroxidase 7(GPX7),GPX7
AT4G31875,hypothetical protein(AT4G31875),AT4G31875
AT4G31877,ncRNA(MIR156c),MIR156c
AT4G31880,transcriptional regulator(AT4G31880),AT4G31880
AT4G31890,ARM repeat superfamily protein(AT4G31890),AT4G31890
AT4G31910,HXXXD-type acyl-transferase family protein(BAT1),BAT1
AT4G31920,response regulator 10(RR10),RR10
AT4G31930,Mitochondrial glycoprotein family protein(AT4G31930),AT4G31930
AT4G31940,"cytochrome P450, family 82, subfamily C, polypeptide 4(CYP82C4)",CYP82C4
AT4G31950,"cytochrome P450, family 82, subfamily C, polypeptide 3(CYP82C3)",CYP82C3
AT4G31970,"cytochrome P450, family 82, subfamily C, polypeptide 2(CYP82C2)",CYP82C2
AT4G31980,PPPDE thiol peptidase family protein(AT4G31980),AT4G31980
AT4G31985,Ribosomal protein L39 family protein(AT4G31985),AT4G31985
AT4G31990,aspartate aminotransferase 5(ASP5),ASP5
AT4G32000,Protein kinase superfamily protein(AT4G32000),AT4G32000
AT4G32010,HSI2-like 1(HSL1),HSL1
AT4G32020,serine/arginine repetitive matrix-like protein(AT4G32020),AT4G32020
AT4G32030,hypothetical protein(AT4G32030),AT4G32030
AT4G32040,homeobox protein knotted-1-like 5(KNAT5),KNAT5
AT4G32050,neurochondrin family protein(AT4G32050),AT4G32050
AT4G32060,calcium-binding EF hand family protein(AT4G32060),AT4G32060
AT4G32070,Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein(Phox4),Phox4
AT4G32080,hypothetical protein(AT4G32080),AT4G32080
AT4G32120,Galactosyltransferase family protein(AT4G32120),AT4G32120
AT4G32130,ER membrane protein complex subunit-like protein (DUF2012)(AT4G32130),AT4G32130
AT4G32140,EamA-like transporter family(AT4G32140),AT4G32140
AT4G32150,vesicle-associated membrane protein 711(VAMP711),VAMP711
AT4G32160,Phox (PX) domain-containing protein(AT4G32160),AT4G32160
AT4G32175,PNAS-3-like protein(AT4G32175),AT4G32175
AT4G32180,pantothenate kinase 2(PANK2),PANK2
AT4G32190,Myosin heavy chain-related protein(AT4G32190),AT4G32190
AT4G32200,DNA-binding HORMA family protein(ASY2),ASY2
AT4G32205,hypothetical protein(AT4G32205),AT4G32205
AT4G32208,heat shock protein 70 (Hsp 70) family protein(AT4G32208),AT4G32208
AT4G32210,succinate dehydrogenase 3-2(SDH3-2),SDH3-2
AT4G32212,miscRNA(AT4G32212),AT4G32212
AT4G32215,hypothetical protein(AT4G32215),AT4G32215
AT4G32220,hypothetical protein(AT4G32220),AT4G32220
AT4G32230,hypothetical protein(AT4G32230),AT4G32230
AT4G32240,hypothetical protein(AT4G32240),AT4G32240
AT4G32250,Protein kinase superfamily protein(AT4G32250),AT4G32250
AT4G32260,"ATPase, F0 complex, subunit B/B', bacterial/chloroplast(PDE334)",PDE334
AT4G32270,Ubiquitin-like superfamily protein(AT4G32270),AT4G32270
AT4G32272,Nucleotide/sugar transporter family protein(AT4G32272),UGNT1
AT4G32280,indole-3-acetic acid inducible 29(IAA29),IAA29
AT4G32285,ENTH/ANTH/VHS superfamily protein(AT4G32285),AT4G32285
AT4G32290,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT4G32290)",AT4G32290
AT4G32295,histone acetyltransferase(AT4G32295),AT4G32295
AT4G32300,S-domain-2 5(SD2-5),SD2-5
AT4G32320,ascorbate peroxidase 6(APX6),APX6
AT4G32330,TPX2 (targeting protein for Xklp2) protein family(AT4G32330),AT4G32330
AT4G32340,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G32340),AT4G32340
AT4G32342,hypothetical protein(AT4G32342),AT4G32342
AT4G32350,Regulator of Vps4 activity in the MVB pathway protein(AT4G32350),AT4G32350
AT4G32360,Pyridine nucleotide-disulfide oxidoreductase family protein(AT4G32360),AT4G32360
AT4G32390,Nucleotide-sugar transporter family protein(AT4G32390),AT4G32390
AT4G32400,Mitochondrial substrate carrier family protein(SHS1),SHS1
AT4G32410,cellulose synthase 1(CESA1),CESA1
AT4G32420,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT4G32420),AT4G32420
AT4G32430,Pentatricopeptide repeat (PPR) superfamily protein(AT4G32430),AT4G32430
AT4G32440,Plant Tudor-like RNA-binding protein(AT4G32440),AT4G32440
AT4G32445,ncRNA(MIR419),MIR419
AT4G32450,Pentatricopeptide repeat (PPR) superfamily protein(MEF8S),MEF8S
AT4G32460,"choice-of-anchor C domain protein, putative (Protein of unknown function, DUF642)(AT4G32460)",AT4G32460
AT4G32470,"Cytochrome bd ubiquinol oxidase, 14kDa subunit(AT4G32470)",AT4G32470
AT4G32480,"sugar phosphate exchanger, putative (DUF506)(AT4G32480)",AT4G32480
AT4G32500,K+ transporter 5(KT5),KT5
AT4G32510,HCO3- transporter family(AT4G32510),AT4G32510
AT4G32520,serine hydroxymethyltransferase 3(SHM3),SHM3
AT4G32530,"ATPase, F0/V0 complex, subunit C protein(AT4G32530)",AT4G32530
AT4G32540,Flavin-binding monooxygenase family protein(YUC1),YUC1
AT4G32551,transcriptional corepressor LEUNIG(LUG),LUG
AT4G32560,paramyosin-like protein(AT4G32560),AT4G32560
AT4G32570,TIFY domain protein 8(TIFY8),TIFY8
AT4G32580,Thioredoxin superfamily protein(AT4G32580),AT4G32580
AT4G32590,2Fe-2S ferredoxin-like superfamily protein(AT4G32590),AT4G32590
AT4G32600,C3H4 type zinc finger protein(AT4G32600),AT4G32600
AT4G32605,Mitochondrial glycoprotein family protein(AT4G32605),AT4G32605
AT4G32610,copper ion binding protein(AT4G32610),AT4G32610
AT4G32620,Enhancer of polycomb-like transcription factor protein(AT4G32620),AT4G32620
AT4G32630,ArfGap/RecO-like zinc finger domain-containing protein(AT4G32630),AT4G32630
AT4G32640,Sec23/Sec24 protein transport family protein(AT4G32640),AT4G32640
AT4G32650,potassium channel protein(KAT3),KAT3
AT4G32660,Protein kinase superfamily protein(AME3),AME3
AT4G32670,RING/FYVE/PHD zinc finger superfamily protein(AT4G32670),AT4G32670
AT4G32680,transmembrane protein(AT4G32680),AT4G32680
AT4G32690,hemoglobin 3(GLB3),GLB3
AT4G32700,MUS308 and mammalian DNA polymerase-like protein(AT4G32700),AT4G32700
AT4G32710,Protein kinase superfamily protein(PERK14),PERK14
AT4G32720,La protein 1(La1),La1
AT4G32730,Homeodomain-like protein(PC-MYB1),PC-MYB1
AT4G32750,transmembrane protein(AT4G32750),AT4G32750
AT4G32760,ENTH/VHS/GAT family protein(AT4G32760),AT4G32760
AT4G32770,"tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)(VTE1)",VTE1
AT4G32780,phosphoinositide binding protein(AT4G32780),AT4G32780
AT4G32790,Exostosin family protein(AT4G32790),AT4G32790
AT4G32800,Integrase-type DNA-binding superfamily protein(AT4G32800),AT4G32800
AT4G32810,carotenoid cleavage dioxygenase 8(CCD8),CCD8
AT4G32820,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G32820),AT4G32820
AT4G32830,ataurora1(AUR1),AUR1
AT4G32840,phosphofructokinase 6(PFK6),PFK6
AT4G32850,nuclear poly(a) polymerase(nPAP),nPAP
AT4G32860,Avr9/Cf-9 rapidly elicited protein(AT4G32860),AT4G32860
AT4G32870,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT4G32870),AT4G32870
AT4G32880,homeobox-leucine zipper protein ATHB-8(HB-8),HB-8
AT4G32890,GATA transcription factor 9(GATA9),GATA9
AT4G32900,Peptidyl-tRNA hydrolase II (PTH2) family protein(AT4G32900),AT4G32900
AT4G32910,nuclear pore complex Nup85-like protein(AT4G32910),AT4G32910
AT4G32915,glutamyl-tRNA(Gln) amidotransferase subunit C(AT4G32915),AT4G32915
AT4G32920,glycine-rich protein(AT4G32920),AT4G32920
AT4G32930,hypothetical protein(AT4G32930),AT4G32930
AT4G32940,gamma vacuolar processing enzyme(GAMMA-VPE),GAMMA-VPE
AT4G32950,Protein phosphatase 2C family protein(AT4G32950),AT4G32950
AT4G32960,BRISC/BRCA1-A complex protein(AT4G32960),AT4G32960
AT4G32970,BRISC/BRCA1-A complex protein(AT4G32970),AT4G32970
AT4G32980,homeobox protein ATH1(ATH1),ATH1
AT4G32990,Transducin/WD40 repeat-like superfamily protein(AT4G32990),AT4G32990
AT4G33000,calcineurin B-like protein 10(CBL10),CBL10
AT4G33010,glycine decarboxylase P-protein 1(GLDP1),GLDP1
AT4G33020,ZIP metal ion transporter family(ZIP9),ZIP9
AT4G33030,sulfoquinovosyldiacylglycerol 1(SQD1),SQD1
AT4G33040,Thioredoxin superfamily protein(AT4G33040),AT4G33040
AT4G33050,calmodulin-binding family protein(EDA39),EDA39
AT4G33060,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT4G33060),AT4G33060
AT4G33070,Thiamine pyrophosphate dependent pyruvate decarboxylase family protein(AT4G33070),AT4G33070
AT4G33080,"AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT4G33080)",AT4G33080
AT4G33090,aminopeptidase M1(APM1),APM1
AT4G33100,protein phosphatase(AT4G33100),AT4G33100
AT4G33110,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G33110),AT4G33110
AT4G33120,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G33120),AT4G33120
AT4G33130,rho GTPase-activating protein(AT4G33130),AT4G33130
AT4G33140,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(AT4G33140),AT4G33140
AT4G33145,hypothetical protein(AT4G33145),AT4G33145
AT4G33150,lysine-ketoglutarate reductase/saccharopine dehydrogenase bifunctional enzyme(AT4G33150),AT4G33150
AT4G33160,F-box family protein(AT4G33160),AT4G33160
AT4G33170,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G33170),AT4G33170
AT4G33180,alpha/beta-Hydrolases superfamily protein(AT4G33180),AT4G33180
AT4G33200,myosin(XI-I),XI-I
AT4G33210,F-box family protein(SLOMO),SLOMO
AT4G33220,pectin methylesterase 44(PME44),PME44
AT4G33240,1-phosphatidylinositol-3-phosphate 5-kinase FAB1A(FAB1A),FAB1A
AT4G33250,eukaryotic translation initiation factor 3K(EIF3K),EIF3K
AT4G33260,Transducin family protein / WD-40 repeat family protein(CDC20.2),CDC20.2
AT4G33270,Transducin family protein / WD-40 repeat family protein(CDC20.1),CDC20.1
AT4G33280,AP2/B3-like transcriptional factor family protein(AT4G33280),AT4G33280
AT4G33300,ADR1-like 1(ADR1-L1),ADR1-L1
AT4G33310,hypothetical protein(AT4G33310),AT4G33310
AT4G33330,plant glycogenin-like starch initiation protein 3(PGSIP3),PGSIP3
AT4G33350,Tic22-like family protein(Tic22-IV),Tic22-IV
AT4G33355,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G33355),AT4G33355
AT4G33360,NAD(P)-binding Rossmann-fold superfamily protein(FLDH),FLDH
AT4G33370,DEA(D/H)-box RNA helicase family protein(AT4G33370),AT4G33370
AT4G33380,"dimethylallyl, adenosine tRNA methylthiotransferase(AT4G33380)",AT4G33380
AT4G33390,WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like protein (DUF827)(AT4G33390),AT4G33390
AT4G33400,"Vacuolar import/degradation, Vid27-related protein(AT4G33400)",AT4G33400
AT4G33410,SIGNAL PEPTIDE PEPTIDASE-LIKE 1(SPPL1),SPPL1
AT4G33420,Peroxidase superfamily protein(AT4G33420),AT4G33420
AT4G33430,BRI1-associated receptor kinase(BAK1),BAK1
AT4G33440,Pectin lyase-like superfamily protein(AT4G33440),AT4G33440
AT4G33450,myb domain protein 69(MYB69),MYB69
AT4G33460,ABC transporter family protein(ABCI10),ABCI10
AT4G33467,hypothetical protein(AT4G33467),AT4G33467
AT4G33470,histone deacetylase 14(HDA14),HDA14
AT4G33480,BTB/POZ domain protein TNFAIP protein(AT4G33480),AT4G33480
AT4G33490,Eukaryotic aspartyl protease family protein(AT4G33490),AT4G33490
AT4G33495,Ubiquitin carboxyl-terminal hydrolase family protein(RPD1),RPD1
AT4G33500,Protein phosphatase 2C family protein(AT4G33500),AT4G33500
AT4G33510,3-deoxy-d-arabino-heptulosonate 7-phosphate synthase(DHS2),DHS2
AT4G33520,P-type ATP-ase 1(PAA1),PAA1
AT4G33530,K+ uptake permease 5(KUP5),KUP5
AT4G33540,metallo-beta-lactamase family protein(AT4G33540),AT4G33540
AT4G33550,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G33550),AT4G33550
AT4G33560,Wound-responsive family protein(AT4G33560),AT4G33560
AT4G33565,RING/U-box superfamily protein(AT4G33565),AT4G33565
AT4G33580,beta carbonic anhydrase 5(BCA5),BCA5
AT4G33590,transmembrane protein(AT4G33590),AT4G33590
AT4G33610,glycine-rich protein(AT4G33610),AT4G33610
AT4G33620,Cysteine proteinases superfamily protein(AT4G33620),AT4G33620
AT4G33625,vacuole protein(AT4G33625),AT4G33625
AT4G33630,UvrB/UvrC domain protein (DUF3506)(EX1),EX1
AT4G33640,costars family protein(AT4G33640),AT4G33640
AT4G33650,dynamin-related protein 3A(DRP3A),DRP3A
AT4G33660,cysteine-rich TM module stress tolerance protein(AT4G33660),AT4G33660
AT4G33666,hypothetical protein(AT4G33666),AT4G33666
AT4G33670,NAD(P)-linked oxidoreductase superfamily protein(AT4G33670),AT4G33670
AT4G33680,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AGD2),AGD2
AT4G33690,G patch domain protein(AT4G33690),AT4G33690
AT4G33700,CBS domain protein (DUF21)(AT4G33700),AT4G33700
AT4G33720,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G33720)",AT4G33720
AT4G33730,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein(AT4G33730)",AT4G33730
AT4G33740,myb-like protein X(AT4G33740),AT4G33740
AT4G33760,"tRNA synthetase class II (D, K and N) family protein(AT4G33760)",AT4G33760
AT4G33770,"Inositol 1,3,4-trisphosphate 5/6-kinase family protein(AT4G33770)",AT4G33770
AT4G33780,ATP phosphoribosyltransferase regulatory subunit(AT4G33780),AT4G33780
AT4G33790,Jojoba acyl CoA reductase-related male sterility protein(CER4),CER4
AT4G33800,hypothetical protein(AT4G33800),AT4G33800
AT4G33810,Glycosyl hydrolase superfamily protein(AT4G33810),AT4G33810
AT4G33820,Glycosyl hydrolase superfamily protein(AT4G33820),AT4G33820
AT4G33860,Glycosyl hydrolase family 10 protein(AT4G33860),AT4G33860
AT4G33865,Ribosomal protein S14p/S29e family protein(AT4G33865),AT4G33865
AT4G33870,Peroxidase superfamily protein(AT4G33870),AT4G33870
AT4G33880,ROOT HAIR DEFECTIVE 6-LIKE 2(RSL2),RSL2
AT4G33890,"transcriptional regulator of RNA polII, SAGA, subunit(AT4G33890)",AT4G33890
AT4G33905,Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein(AT4G33905),AT4G33905
AT4G33910,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT4G33910),AT4G33910
