"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT5G23850",-0.11,0.31,"O-glucosyltransferase rumi-like protein (DUF821)(AT5G23850)","AT5G23850"
"AT5G23870",-0.11,0.29,"Pectinacetylesterase family protein(AT5G23870)","AT5G23870"
"AT5G25090",-0.11,0.3,"early nodulin-like protein 13(ENODL13)","ENODL13"
"AT5G25475",-0.11,0.29,"AP2/B3-like transcriptional factor family protein(AT5G25475)","AT5G25475"
"AT5G26740",-0.11,0.3,"organic solute transporter ostalpha protein (DUF300)(AT5G26740)","AT5G26740"
"AT5G26800",-0.11,0.32,"xaa-pro aminopeptidase P(AT5G26800)","AT5G26800"
"AT5G26830",-0.11,0.31,"Threonyl-tRNA synthetase(AT5G26830)","AT5G26830"
"AT5G27750",-0.11,0.3,"F-box/FBD-like domains containing protein(AT5G27750)","AT5G27750"
"AT5G27820",-0.11,0.32,"Ribosomal L18p/L5e family protein(AT5G27820)","AT5G27820"
"AT5G28380",-0.11,0.29,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G28380)","AT5G28380"
"AT5G28415",-0.11,0.31,"hypothetical protein(AT5G28415)","AT5G28415"
"AT5G35590",-0.11,0.29,"proteasome alpha subunit A1(PAA1)","PAA1"
"AT5G37210",-0.11,0.32,"Cysteine/Histidine-rich C1 domain family protein(AT5G37210)","AT5G37210"
"AT5G38860",-0.11,0.33,"BES1-interacting Myc-like protein 3(BIM3)","BIM3"
"AT5G39320",-0.11,0.32,"UDP-glucose 6-dehydrogenase family protein(UDG4)","UDG4"
"AT5G39473",-0.11,0.32,"miscRNA(AT5G39473)","AT5G39473"
"AT5G39580",-0.11,0.3,"Peroxidase superfamily protein(AT5G39580)","AT5G39580"
"AT5G39950",-0.11,0.29,"thioredoxin 2(TRX2)","TRX2"
"AT5G40480",-0.11,0.29,"embryo defective 3012(EMB3012)","EMB3012"
"AT5G41663",-0.11,0.32,"miscRNA(MIR319b)","MIR319b"
"AT5G42350",-0.11,0.32,"Galactose oxidase/kelch repeat superfamily protein(AT5G42350)","AT5G42350"
"AT5G42560",-0.11,0.32,"Abscisic acid-responsive (TB2/DP1, HVA22) family protein(AT5G42560)","AT5G42560"
"AT5G43430",-0.11,0.31,"electron transfer flavoprotein beta(ETFBETA)","ETFBETA"
"AT5G43490",-0.11,0.31,"myb-like protein X(AT5G43490)","AT5G43490"
"AT5G43980",-0.11,0.32,"plasmodesmata-located protein 1(PDLP1)","PDLP1"
"AT5G44416",-0.11,0.32,"hypothetical protein(AT5G44416)","AT5G44416"
"AT5G44417",-0.11,0.32,"miscRNA(AT5G44417)","AT5G44417"
"AT5G44582",-0.11,0.3,"hypothetical protein(AT5G44582)","AT5G44582"
"AT5G46100",-0.11,0.29,"Pentatricopeptide repeat (PPR) superfamily protein(AT5G46100)","AT5G46100"
"AT5G46180",-0.11,0.29,"ornithine-delta-aminotransferase(DELTA-OAT)","DELTA-OAT"
"AT5G46440",-0.11,0.32,"PPR containing-like protein(AT5G46440)","AT5G46440"
"AT5G46640",-0.11,0.32,"AT hook motif DNA-binding family protein(AT5G46640)","AT5G46640"
"AT5G48360",-0.11,0.29,"Actin-binding FH2 (formin homology 2) family protein(AT5G48360)","AT5G48360"
"AT5G48400",-0.11,0.3,"Glutamate receptor family protein(ATGLR1.2)","ATGLR1.2"
"AT5G48410",-0.11,0.3,"glutamate receptor 1.3(GLR1.3)","GLR1.3"
"AT5G48950",-0.11,0.29,"Thioesterase superfamily protein(DHNAT2)","DHNAT2"
"AT5G49280",-0.11,0.3,"hydroxyproline-rich glycoprotein family protein(AT5G49280)","AT5G49280"
"AT5G49860",-0.11,0.29,"Mannose-binding lectin superfamily protein(AT5G49860)","AT5G49860"
"AT5G49890",-0.11,0.29,"chloride channel C(CLC-C)","CLC-C"
"AT5G50175",-0.11,0.32,"transmembrane protein(AT5G50175)","AT5G50175"
"AT5G50180",-0.11,0.3,"Protein kinase superfamily protein(AT5G50180)","AT5G50180"
"AT5G50210",-0.11,0.3,"quinolinate synthase(QS)","QS"
"AT5G50315",-0.11,0.31,"hypothetical protein(AT5G50315)","AT5G50315"
"AT5G50970",-0.11,0.31,"transducin family protein / WD-40 repeat family protein(AT5G50970)","AT5G50970"
"AT5G52300",-0.11,0.3,"CAP160 protein(LTI65)","LTI65"
"AT5G52390",-0.11,0.3,"PAR1 protein(AT5G52390)","AT5G52390"
"AT5G52810",-0.11,0.3,"NAD(P)-binding Rossmann-fold superfamily protein(AT5G52810)","AT5G52810"
"AT5G53160",-0.11,0.33,"regulatory components of ABA receptor 3(RCAR3)","RCAR3"
"AT5G53360",-0.11,0.29,"TRAF-like superfamily protein(AT5G53360)","AT5G53360"
"AT5G53570",-0.11,0.3,"Ypt/Rab-GAP domain of gyp1p superfamily protein(AT5G53570)","AT5G53570"
"AT5G53750",-0.11,0.32,"CBS domain-containing protein(AT5G53750)","AT5G53750"
"AT5G54020",-0.11,0.3,"Cysteine/Histidine-rich C1 domain family protein(AT5G54020)","AT5G54020"
"AT5G55520",-0.11,0.3,"kinesin-like protein(AT5G55520)","AT5G55520"
"AT5G55680",-0.11,0.3,"glycine-rich protein(AT5G55680)","AT5G55680"
"AT5G56580",-0.11,0.31,"MAP kinase kinase 6(MKK6)","MKK6"
"AT5G56730",-0.11,0.3,"Insulinase (Peptidase family M16) protein(AT5G56730)","AT5G56730"
"AT5G56747",-0.11,0.29,"hypothetical protein(AT5G56747)","AT5G56747"
"AT5G58190",-0.11,0.33,"evolutionarily conserved C-terminal region 10(ECT10)","ECT10"
"AT5G58200",-0.11,0.29,"Calcineurin-like metallo-phosphoesterase superfamily protein(AT5G58200)","AT5G58200"
"AT5G58620",-0.11,0.3,"zinc finger (CCCH-type) family protein(AT5G58620)","AT5G58620"
"AT5G58730",-0.11,0.3,"pfkB-like carbohydrate kinase family protein(Mik)","Mik"
"AT5G58780",-0.11,0.31,"Undecaprenyl pyrophosphate synthetase family protein(cPT5)","cPT5"
"AT5G59170",-0.11,0.31,"Proline-rich extensin-like family protein(AT5G59170)","AT5G59170"
"AT5G59210",-0.11,0.31,"myosin heavy chain-like protein(AT5G59210)","AT5G59210"
"AT5G59590",-0.11,0.3,"UDP-glucosyl transferase 76E2(UGT76E2)","UGT76E2"
"AT5G59620",-0.11,0.3,"hypothetical protein(AT5G59620)","AT5G59620"
"AT5G60270",-0.11,0.31,"Concanavalin A-like lectin protein kinase family protein(AT5G60270)","AT5G60270"
"AT5G60390",-0.11,0.33,"GTP binding Elongation factor Tu family protein(AT5G60390)","AT5G60390"
"AT5G60450",-0.11,0.33,"auxin response factor 4(ARF4)","ARF4"
"AT5G60460",-0.11,0.29,"Preprotein translocase Sec, Sec61-beta subunit protein(AT5G60460)","AT5G60460"
"AT5G61140",-0.11,0.3,"U5 small nuclear ribonucleoprotein helicase(AT5G61140)","AT5G61140"
"AT5G61500",-0.11,0.29,"autophagy 3 (APG3)(ATG3)","ATG3"
"AT5G61920",-0.11,0.32,"FLX-like protein(AT5G61920)","AT5G61920"
"AT5G62540",-0.11,0.29,"ubiquitin-conjugating enzyme 3(UBC3)","UBC3"
"AT5G62630",-0.11,0.29,"hipl2 protein precursor(HIPL2)","HIPL2"
"AT5G63150",-0.11,0.33,"hypothetical protein(AT5G63150)","AT5G63150"
"AT5G63350",-0.11,0.29,"von willebrand factor A domain protein(AT5G63350)","AT5G63350"
"AT5G63630",-0.11,0.31,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G63630)","AT5G63630"
"AT5G64280",-0.11,0.32,"dicarboxylate transporter 2.2(DiT2.2)","DiT2.2"
"AT5G64440",-0.11,0.32,"fatty acid amide hydrolase(FAAH)","FAAH"
"AT5G65495",-0.11,0.32,"hypothetical protein(AT5G65495)","AT5G65495"
"AT5G66070",-0.11,0.32,"RING/U-box superfamily protein(AT5G66070)","AT5G66070"
"AT5G66480",-0.11,0.32,"bacteriophage N4 adsorption B protein(AT5G66480)","AT5G66480"
"AT5G66890",-0.11,0.29,"Leucine-rich repeat (LRR) family protein(AT5G66890)","AT5G66890"
"AT5G67245",-0.11,0.33,"hypothetical protein(AT5G67245)","AT5G67245"
"ATMG00010",-0.11,0.31,"ORF153A","ORF153A"
"ATMG00070",-0.11,0.32,"NAD9","NAD9"
"AT1G01230",-0.12,0.28,"ORMDL family protein(AT1G01230)","AT1G01230"
"AT1G02710",-0.12,0.27,"glycine-rich protein(AT1G02710)","AT1G02710"
"AT1G02810",-0.12,0.25,"Plant invertase/pectin methylesterase inhibitor superfamily(AT1G02810)","AT1G02810"
"AT1G03200",-0.12,0.25,"hypothetical protein(AT1G03200)","AT1G03200"
"AT1G03530",-0.12,0.27,"nuclear assembly factor 1(NAF1)","NAF1"
"AT1G03650",-0.12,0.27,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT1G03650)","AT1G03650"
"AT1G04410",-0.12,0.25,"Lactate/malate dehydrogenase family protein(c-NAD-MDH1)","c-NAD-MDH1"
"AT1G06090",-0.12,0.27,"Fatty acid desaturase family protein(AT1G06090)","AT1G06090"
"AT1G06310",-0.12,0.27,"acyl-CoA oxidase 6(ACX6)","ACX6"
"AT1G07670",-0.12,0.26,"endomembrane-type CA-ATPase 4(ECA4)","ECA4"
"AT1G08370",-0.12,0.27,"decapping 1(DCP1)","DCP1"
"AT1G09000",-0.12,0.28,"NPK1-related protein kinase 1(NP1)","NP1"
"AT1G09170",-0.12,0.25,"P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain-containing protein(AT1G09170)","AT1G09170"
"AT1G09650",-0.12,0.27,"F-box and associated interaction domains-containing protein(AT1G09650)","AT1G09650"
"AT1G09810",-0.12,0.26,"evolutionarily conserved C-terminal region 11(ECT11)","ECT11"
"AT1G10060",-0.12,0.25,"branched-chain amino acid transaminase 1(BCAT-1)","BCAT-1"
"AT1G10090",-0.12,0.26,"Early-responsive to dehydration stress protein (ERD4)(AT1G10090)","AT1G10090"
"AT1G10200",-0.12,0.27,"GATA type zinc finger transcription factor family protein(WLIM1)","WLIM1"
"AT1G10270",-0.12,0.27,"glutamine-rich protein 23(GRP23)","GRP23"
"AT1G10590",-0.12,0.26,"Nucleic acid-binding, OB-fold-like protein(AT1G10590)","AT1G10590"
"AT1G11530",-0.12,0.27,"C-terminal cysteine residue is changed to a serine 1(CXXS1)","CXXS1"
"AT1G12230",-0.12,0.28,"Aldolase superfamily protein(AT1G12230)","AT1G12230"
"AT1G12300",-0.12,0.28,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G12300)","AT1G12300"
"AT1G13800",-0.12,0.27,"Tetratricopeptide repeat (TPR)-like superfamily protein(FAC19)","FAC19"
"AT1G13930",-0.12,0.28,"oleosin-B3-like protein(AT1G13930)","AT1G13930"
"AT1G14410",-0.12,0.28,"ssDNA-binding transcriptional regulator(WHY1)","WHY1"
"AT1G14530",-0.12,0.27,"tobamovirus multiplication-like protein (DUF1084)(THH1)","THH1"
"AT1G14920",-0.12,0.25,"GRAS family transcription factor family protein(GAI)","GAI"
"AT1G15080",-0.12,0.25,"lipid phosphate phosphatase 2(LPP2)","LPP2"
"AT1G16040",-0.12,0.28,"phosphatidylinositol-glycan biosynthesis class F-like protein(AT1G16040)","AT1G16040"
"AT1G16225",-0.12,0.28,"Target SNARE coiled-coil domain protein(AT1G16225)","AT1G16225"
"AT1G16800",-0.12,0.27,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G16800)","AT1G16800"
"AT1G17665",-0.12,0.25,"CA-responsive protein(AT1G17665)","AT1G17665"
"AT1G17680",-0.12,0.26,"tetratricopeptide repeat (TPR)-containing protein(AT1G17680)","AT1G17680"
"AT1G18470",-0.12,0.25,"Transmembrane Fragile-X-F-associated protein(AT1G18470)","AT1G18470"
"AT1G20140",-0.12,0.25,"SKP1-like 4(SK4)","SK4"
"AT1G20260",-0.12,0.27,"ATPase, V1 complex, subunit B protein(VAB3)","VAB3"
"AT1G20980",-0.12,0.26,"squamosa promoter binding protein-like 14(SPL14)","SPL14"
"AT1G21980",-0.12,0.27,"phosphatidylinositol-4-phosphate 5-kinase 1(PIP5K1)","PIP5K1"
"AT1G22350",-0.12,0.25,"miscRNA(AT1G22350)","AT1G22350"
"AT1G22370",-0.12,0.27,"UDP-glucosyl transferase 85A5(UGT85A5)","UGT85A5"
"AT1G24450",-0.12,0.28,"Ribonuclease III family protein(NFD2)","NFD2"
"AT1G27540",-0.12,0.27,"F-box protein (DUF295)(AT1G27540)","AT1G27540"
"AT1G27570",-0.12,0.26,"phosphatidylinositol 3- and 4-kinase family protein(AT1G27570)","AT1G27570"
"AT1G27921",-0.12,0.26,"ncRNA(AT1G27921)","AT1G27921"
"AT1G28330",-0.12,0.28,"dormancy-associated protein-like 1(DYL1)","DYL1"
"AT1G29350",-0.12,0.25,"RNA polymerase II degradation factor-like protein (DUF1296)(AT1G29350)","AT1G29350"
"AT1G29357",-0.12,0.26,"ncRNA(AT1G29357)","AT1G29357"
"AT1G30130",-0.12,0.25,"DUF1365 family protein(AT1G30130)","AT1G30130"
"AT1G30200",-0.12,0.27,"F-box family protein(AT1G30200)","AT1G30200"
"AT1G30210",-0.12,0.28,"TEOSINTE BRANCHED 1, cycloidea, and PCF family 24(TCP24)","TCP24"
"AT1G30480",-0.12,0.28,"D111/G-patch domain-containing protein(DRT111)","DRT111"
"AT1G31250",-0.12,0.25,"proline-rich family protein(AT1G31250)","AT1G31250"
"AT1G31470",-0.12,0.29,"Major facilitator superfamily protein(NFD4)","NFD4"
"AT1G32090",-0.12,0.26,"early-responsive to dehydration stress protein (ERD4)(AT1G32090)","AT1G32090"
"AT1G32190",-0.12,0.27,"alpha/beta-Hydrolases superfamily protein(AT1G32190)","AT1G32190"
"AT1G32210",-0.12,0.29,"Defender against death (DAD family) protein(ATDAD1)","ATDAD1"
"AT1G33615",-0.12,0.26,"ncRNA(AT1G33615)","AT1G33615"
"AT1G37180",-0.12,0.27,"hypothetical protein(AT1G37180)","AT1G37180"
"AT1G43060",-0.12,0.25,"hypothetical protein(AT1G43060)","AT1G43060"
"AT1G43860",-0.12,0.26,"sequence-specific DNA binding transcription factor(AT1G43860)","AT1G43860"
"AT1G43980",-0.12,0.28,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G43980)","AT1G43980"
"AT1G44510",-0.12,0.27,"hypothetical protein(AT1G44510)","AT1G44510"
"AT1G44960",-0.12,0.27,"SNARE associated Golgi protein family(AT1G44960)","AT1G44960"
"AT1G45050",-0.12,0.28,"Ubiquitin-conjugating enzyme family protein(ATUBC2-1)","ATUBC2-1"
"AT1G46480",-0.12,0.25,"WUSCHEL related homeobox 4(WOX4)","WOX4"
"AT1G48605",-0.12,0.28,"Flavoprotein(ATHAL3B)","ATHAL3B"
"AT1G48760",-0.12,0.26,"delta-adaptin(delta-ADR)","delta-ADR"
"AT1G48800",-0.12,0.27,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT1G48800)","AT1G48800"
"AT1G49130",-0.12,0.25,"B-box type zinc finger protein with CCT domain-containing protein(BBX17)","BBX17"
"AT1G49470",-0.12,0.28,"transmembrane epididymal protein (DUF716)(AT1G49470)","AT1G49470"
"AT1G50010",-0.12,0.28,"tubulin alpha-2 chain(TUA2)","TUA2"
"AT1G52890",-0.12,0.27,"NAC domain containing protein 19(NAC019)","NAC019"
"AT1G53110",-0.12,0.26,"proton pump-interactor(AT1G53110)","AT1G53110"
"AT1G54490",-0.12,0.25,"exoribonuclease 4(XRN4)","XRN4"
"AT1G54580",-0.12,0.25,"acyl carrier protein 2(ACP2)","ACP2"
"AT1G54760",-0.12,0.27,"AGAMOUS-like 85(AGL85)","AGL85"
"AT1G55540",-0.12,0.26,"Nuclear pore complex protein(LNO1)","LNO1"
"AT1G55660",-0.12,0.29,"FBD, F-box and Leucine Rich Repeat domains containing protein(AT1G55660)","AT1G55660"
"AT1G55840",-0.12,0.27,"Sec14p-like phosphatidylinositol transfer family protein(AT1G55840)","AT1G55840"
"AT1G56230",-0.12,0.28,"enolase (DUF1399)(AT1G56230)","AT1G56230"
"AT1G56250",-0.12,0.28,"phloem protein 2-B14(PP2-B14)","PP2-B14"
"AT1G58190",-0.12,0.27,"receptor like protein 9(RLP9)","RLP9"
"AT1G58350",-0.12,0.28,"Putative serine esterase family protein(ZW18)","ZW18"
"AT1G60170",-0.12,0.25,"pre-mRNA processing ribonucleoprotein binding region-containing protein(emb1220)","emb1220"
"AT1G60610",-0.12,0.27,"SBP (S-ribonuclease binding protein) family protein(AT1G60610)","AT1G60610"
"AT1G60740",-0.12,0.28,"Thioredoxin superfamily protein(AT1G60740)","AT1G60740"
"AT1G60930",-0.12,0.27,"RECQ helicase L4B(RECQ4B)","RECQ4B"
"AT1G61390",-0.12,0.26,"S-locus lectin protein kinase family protein(AT1G61390)","AT1G61390"
"AT1G61820",-0.12,0.26,"beta glucosidase 46(BGLU46)","BGLU46"
"AT1G62085",-0.12,0.25,"Mitochondrial transcription termination factor family protein(AT1G62085)","AT1G62085"
"AT1G62150",-0.12,0.27,"Mitochondrial transcription termination factor family protein(AT1G62150)","AT1G62150"
"AT1G62570",-0.12,0.27,"flavin-monooxygenase glucosinolate S-oxygenase 4(FMO GS-OX4)","FMO GS-OX4"
"AT1G62600",-0.12,0.25,"Flavin-binding monooxygenase family protein(AT1G62600)","AT1G62600"
"AT1G63330",-0.12,0.28,"Pentatricopeptide repeat (PPR) superfamily protein(AT1G63330)","AT1G63330"
"AT1G63950",-0.12,0.28,"Heavy metal transport/detoxification superfamily protein(AT1G63950)","AT1G63950"
"AT1G65680",-0.12,0.28,"expansin B2(EXPB2)","EXPB2"
"AT1G65760",-0.12,0.28,"ascorbic acid mannose pathway regulator (DUF295)(AT1G65760)","AT1G65760"
"AT1G66540",-0.12,0.26,"Cytochrome P450 superfamily protein(AT1G66540)","AT1G66540"
"AT1G67792",-0.12,0.27,"ncRNA(AT1G67792)","AT1G67792"
"AT1G68060",-0.12,0.27,"microtubule-associated proteins 70-1(MAP70-1)","MAP70-1"
"AT1G68735",-0.12,0.25,"miscRNA(AT1G68735)","AT1G68735"
"AT1G68825",-0.12,0.27,"ROTUNDIFOLIA like 15(RTFL15)","RTFL15"
"AT1G68850",-0.12,0.25,"Peroxidase superfamily protein(AT1G68850)","AT1G68850"
"AT1G69350",-0.12,0.25,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G69350)","AT1G69350"
"AT1G69370",-0.12,0.28,"chorismate mutase 3(CM3)","CM3"
"AT1G69950",-0.12,0.25,"hypothetical protein(AT1G69950)","AT1G69950"
"AT1G70581",-0.12,0.27,"ncRNA(AT1G70581)","AT1G70581"
"AT1G71080",-0.12,0.26,"RNA polymerase II transcription elongation factor(AT1G71080)","AT1G71080"
"AT1G71410",-0.12,0.29,"ARM repeat superfamily protein(AT1G71410)","AT1G71410"
"AT1G72090",-0.12,0.27,"Methylthiotransferase(AT1G72090)","AT1G72090"
"AT1G72560",-0.12,0.25,"ARM repeat superfamily protein(PSD)","PSD"
"AT1G73940",-0.12,0.28,"tumor necrosis factor receptor family protein(AT1G73940)","AT1G73940"
"AT1G74020",-0.12,0.26,"strictosidine synthase 2(SS2)","SS2"
"AT1G74190",-0.12,0.28,"receptor like protein 15(RLP15)","RLP15"
"AT1G74390",-0.12,0.27,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT1G74390)","AT1G74390"
"AT1G74870",-0.12,0.28,"RING/U-box superfamily protein(AT1G74870)","AT1G74870"
"AT1G76540",-0.12,0.28,"cyclin-dependent kinase B2;1(CDKB2;1)","CDKB2;1"
"AT1G76680",-0.12,0.25,"12-oxophytodienoate reductase 1(OPR1)","OPR1"
"AT1G76920",-0.12,0.27,"F-box family protein(AT1G76920)","AT1G76920"
"AT1G76955",-0.12,0.26,"Expressed protein(AT1G76955)","AT1G76955"
"AT1G77370",-0.12,0.29,"Glutaredoxin family protein(AT1G77370)","AT1G77370"
"AT1G78190",-0.12,0.28,"Trm112p-like protein(AT1G78190)","AT1G78190"
"AT1G78350",-0.12,0.25,"hypothetical protein(AT1G78350)","AT1G78350"
"AT1G78990",-0.12,0.26,"HXXXD-type acyl-transferase family protein(AT1G78990)","AT1G78990"
"AT1G78995",-0.12,0.27,"hypothetical protein(AT1G78995)","AT1G78995"
"AT1G79120",-0.12,0.27,"Ubiquitin carboxyl-terminal hydrolase family protein(AT1G79120)","AT1G79120"
"AT1G79320",-0.12,0.27,"metacaspase 6(MC6)","MC6"
"AT1G79460",-0.12,0.27,"Terpenoid cyclases/Protein prenyltransferases superfamily protein(GA2)","GA2"
"AT1G79490",-0.12,0.28,"Pentatricopeptide repeat (PPR) superfamily protein(EMB2217)","EMB2217"
"AT1G79790",-0.12,0.28,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein(FHY1)","FHY1"
"AT1G80120",-0.12,0.26,"LURP-one-like protein (DUF567)(AT1G80120)","AT1G80120"
"AT1G80440",-0.12,0.26,"Galactose oxidase/kelch repeat superfamily protein(AT1G80440)","AT1G80440"
"AT2G01140",-0.12,0.26,"Aldolase superfamily protein(PDE345)","PDE345"
"AT2G01470",-0.12,0.25,"SEC12P-like 2 protein(STL2P)","STL2P"
"AT2G01620",-0.12,0.25,"RNI-like superfamily protein(MEE11)","MEE11"
"AT2G03480",-0.12,0.26,"QUASIMODO2 LIKE 2(QUL2)","QUL2"
"AT2G03830",-0.12,0.27,"root meristem growth factor(RGF8)","RGF8"
"AT2G04130",-0.12,0.26,"hypothetical protein(AT2G04130)","AT2G04130"
"AT2G04490",-0.12,0.28,"hypothetical protein(AT2G04490)","AT2G04490"
"AT2G05760",-0.12,0.28,"Xanthine/uracil permease family protein(AT2G05760)","AT2G05760"
"AT2G10931",-0.12,0.27,"hypothetical protein(AT2G10931)","AT2G10931"
"AT2G11270",-0.12,0.26,"citrate synthase-like protein(AT2G11270)","AT2G11270"
"AT2G16250",-0.12,0.26,"Leucine-rich repeat protein kinase family protein(AT2G16250)","AT2G16250"
"AT2G16660",-0.12,0.28,"Major facilitator superfamily protein(AT2G16660)","AT2G16660"
"AT2G17036",-0.12,0.26,"F-box SKIP23-like protein (DUF295)(AT2G17036)","AT2G17036"
"AT2G17442",-0.12,0.26,"hypothetical protein(AT2G17442)","AT2G17442"
"AT2G17630",-0.12,0.28,"Pyridoxal phosphate (PLP)-dependent transferases superfamily protein(AT2G17630)","AT2G17630"
"AT2G18850",-0.12,0.27,"SET domain-containing protein(AT2G18850)","AT2G18850"
"AT2G19340",-0.12,0.25,"Oligosaccharyltransferase complex/magnesium transporter family protein(AT2G19340)","AT2G19340"
"AT2G20270",-0.12,0.26,"Thioredoxin superfamily protein(AT2G20270)","AT2G20270"
"AT2G20320",-0.12,0.27,"DENN (AEX-3) domain-containing protein(AT2G20320)","AT2G20320"
"AT2G21250",-0.12,0.27,"NAD(P)-linked oxidoreductase superfamily protein(AT2G21250)","AT2G21250"
"AT2G21500",-0.12,0.26,"RING/U-box superfamily protein(AT2G21500)","AT2G21500"
"AT2G22122",-0.12,0.27,"hypothetical protein(AT2G22122)","AT2G22122"
"AT2G22330",-0.12,0.28,"cytochrome P450, family 79, subfamily B, polypeptide 3(CYP79B3)","CYP79B3"
"AT2G22610",-0.12,0.27,"Di-glucose binding protein with Kinesin motor domain-containing protein(AT2G22610)","AT2G22610"
"AT2G23380",-0.12,0.26,"SET domain-containing protein(CLF)","CLF"
"AT2G24310",-0.12,0.28,"TPRXL(AT2G24310)","AT2G24310"
"AT2G25870",-0.12,0.28,"haloacid dehalogenase-like hydrolase family protein(AT2G25870)","AT2G25870"
"AT2G27040",-0.12,0.28,"Argonaute family protein(AGO4)","AGO4"
"AT2G27610",-0.12,0.26,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G27610)","AT2G27610"
"AT2G29400",-0.12,0.26,"type one protein phosphatase 1(TOPP1)","TOPP1"
"AT2G30990",-0.12,0.27,"arginine N-methyltransferase, putative (DUF688)(AT2G30990)","AT2G30990"
"AT2G31955",-0.12,0.26,"cofactor of nitrate reductase and xanthine dehydrogenase 2(CNX2)","CNX2"
"AT2G32100",-0.12,0.27,"ovate family protein 16(OFP16)","OFP16"
"AT2G33760",-0.12,0.25,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G33760)","AT2G33760"
"AT2G33845",-0.12,0.27,"Nucleic acid-binding, OB-fold-like protein(AT2G33845)","AT2G33845"
"AT2G34470",-0.12,0.27,"urease accessory protein G(UREG)","UREG"
"AT2G35030",-0.12,0.25,"Pentatricopeptide repeat (PPR) superfamily protein(AT2G35030)","AT2G35030"
"AT2G35140",-0.12,0.25,"DCD (Development and Cell Death) domain protein(AT2G35140)","AT2G35140"
"AT2G35240",-0.12,0.26,"plastid developmental protein DAG(MORF6)","MORF6"
"AT2G35550",-0.12,0.28,"basic pentacysteine 7(BPC7)","BPC7"
"AT2G35612",-0.12,0.27,"copper amine oxidase family protein(AT2G35612)","AT2G35612"
"AT2G36300",-0.12,0.27,"Integral membrane Yip1 family protein(AT2G36300)","AT2G36300"
"AT2G36370",-0.12,0.26,"ubiquitin-protein ligase(AT2G36370)","AT2G36370"
"AT2G36650",-0.12,0.28,"CHUP1-like protein(AT2G36650)","AT2G36650"
"AT2G36670",-0.12,0.25,"Eukaryotic aspartyl protease family protein(AT2G36670)","AT2G36670"
"AT2G36690",-0.12,0.28,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT2G36690)","AT2G36690"
"AT2G39020",-0.12,0.25,"Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT2G39020)","AT2G39020"
"AT2G39400",-0.12,0.27,"alpha/beta-Hydrolases superfamily protein(AT2G39400)","AT2G39400"
"AT2G39880",-0.12,0.28,"myb domain protein 25(MYB25)","MYB25"
"AT2G40050",-0.12,0.27,"Cysteine/Histidine-rich C1 domain family protein(AT2G40050)","AT2G40050"
"AT2G40380",-0.12,0.27,"prenylated RAB acceptor 1.B2(PRA1.B2)","PRA1.B2"
